file,manual_noise_peaks
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\42KS-EDF+1_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\43KH-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\44TC-EDF+1_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\45JD-EDF+4_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\46QK-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\47BL-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\49NI-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\50NT-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\51ZI-EDF+_mapped_preprocessed_raw.fif,19.04-0.15; 21.24-0.17; 22.09-0.13; 25.76-0.13; 27.34-0.09
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\53BL-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\54CO-EDF+_mapped_preprocessed_raw.fif,5.74-6.79; 7.81-2.92; 8.91-1.57; 8.91-1.57; 11.35-0.63; 11.35-0.63; 12.94-0.39; 13.92-0.3; 14.77-0.24; 15.87-0.22; 16.97-0.21; 17.7-0.16; 18.55-0.16
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\56PX-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\57MK-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\59JS-EDF+1_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\61LL-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\62NN-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\63KE-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\65DK-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\66IT-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\68LQ-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\69BB-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\71NI-EDF+_mapped_preprocessed_raw.fif,6.35-13.97; 6.35-13.97; 6.35-13.97; 7.57-9.38; 9.03-6.9; 10.74-4.76; 11.84-3.91; 13.55-2.89; 15.5-2.13; 16.72-1.81; 18.55-1.45; 19.65-1.27; 21.24-1.06; 22.71-0.9
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\72BT-EDF+1_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\73TT-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\74KS-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\77KM-EDF+_mapped_preprocessed_raw.fif,
L:\LovbeskyttetMapper\CONNECT-ME\Ioannis\thesis_code\results_moshgan\run_20250424_2058\Preprocessd_files\78QQ-EDF+_mapped_preprocessed_raw.fif,
